Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.5499600628522098,0.5459467610250313,0.57153849328532,0.516707786197794,0.508182357586454,0.5273242243411485,0.5173728598293228,0.4969947048181613,0.5149367666196012,0.5051078482922079
2,0.5544467843547671,0.5170435187433539,0.5674855397318783,0.5118990159489956,0.5134680829215506,0.5267166358631573,0.5191018838831792,0.5066647555833624,0.5240654556358347,0.5072053894548031
3,0.6579659676159033,0.505924220159456,0.5009409906066702,0.4975068742208958,0.515650716012505,0.519443067977854,0.5105823848681948,0.5281917804190892,0.4998702091210541,0.5061694603299999
4,0.728283766116473,0.5371103277178715,0.5046746245291535,0.4942033535498035,0.49461174053152007,0.48155495806047044,0.5034937605977948,0.4940112903445853,0.4972005924822053,0.49859698282911913
5,0.683752443665702,0.48712225932392994,0.49728983699799756,0.5117431304660087,0.507258748593558,0.517689896665865,0.5030131454009193,0.5204684114702164,0.5042308338198168,0.5073891101221673
6,0.6078277715683381,0.4550445283644187,0.5086559369344202,0.5197605975386375,0.5379472239241518,0.5425484172240981,0.5175813561237603,0.548960429441847,0.5016647817811355,0.5079209398797739
7,0.5699588179484174,0.5411362924135684,0.5343183782133203,0.5208351248020415,0.5159607070604694,0.5285363931641168,0.5156093062102356,0.5021371408086303,0.5212901883034587,0.5040074637312411
8,0.6552563528772745,0.5027745202050566,0.4918824377751464,0.5143122232927202,0.5215533097924272,0.4961862114857981,0.5213539013414418,0.5339451590410563,0.5031597574100537,0.5084847909982462
9,0.7102905141426801,0.4721188107856268,0.5074121167213163,0.48899574497234805,0.5156622735567269,0.5117958580071603,0.5068004863990712,0.5230512509052231,0.5015409246992101,0.5005761793959999
10,0.5914611230894813,0.5868556120197798,0.5265518415541658,0.5165912008662946,0.5009280661231639,0.5033153495152592,0.5003020193931387,0.5061384040381226,0.5154801379573513,0.500061877387769
11,0.6906884855837678,0.4995345759379657,0.49171571025483013,0.49018293719002165,0.5226721009362754,0.5118111587647861,0.5132866663527804,0.517996462938312,0.49648792191161906,0.5033433314393961
12,0.5809139162088577,0.495745790304266,0.5399261615023561,0.5438960162760095,0.5295729082593789,0.5016106650075868,0.5209297686827754,0.5169803930455091,0.5070005488697062,0.5187576363186363
13,0.6682803338362713,0.5287608774780466,0.5122667949146228,0.50570265462291,0.4964429273156745,0.5079811803097674,0.5015321081435694,0.5069856457792221,0.5011184982933694,0.5078128889780337
14,0.5800055058083149,0.5081314783320633,0.5227117628035299,0.5235247979758306,0.5182584236109079,0.5212975151277861,0.5074575401221098,0.5447095050495433,0.5169420482158271,0.5075259883457371
15,0.6179571256948077,0.5018765449343202,0.48106201999419235,0.5648235891040021,0.5310045956971158,0.5159355937804693,0.5168489568839987,0.5062349258826522,0.5014372731024176,0.5118188348601069
16,0.6169102447573996,0.5302989454362111,0.49888154836733783,0.5357323248984279,0.5127509891171672,0.5033299879223878,0.5091084731663041,0.5360129343693215,0.5019477761015052,0.5085409138664629
