r,g,b
137.6011677028535,164.15186115096446,76.37908496732027
87.61080947414821,135.85472686026384,41.92893313694079
66.43057458664474,154.8915913035535,40.47305197771079
79.41105561105562,121.85822510822511,51.3537962037962
147.55154890358511,173.54270797076228,99.56164288200488
98.16729559748428,105.53335662706732,64.13365944560913
97.8828125,102.02231650110376,49.48563396799117
128.69704087858452,133.42312385600977,61.73654667480171
121.33228773080488,137.02801739502388,86.95563318362207
164.82210887424392,141.1968192350516,92.9024555385032
130.196875,144.48824013157895,105.09588815789473
95.62470147181338,156.57156345459595,58.52825603998889
159.9497713294433,165.44878568049202,97.25285181096568
161.82316784869977,147.528168757956,95.75970176395708
113.36062834224599,108.81723484848484,84.4966577540107
115.50631077038145,142.5567346048367,71.74786524557467
112.72914230019494,109.73515733778892,73.2589947089947
87.6602864754329,126.64425548280585,71.02630245952385
111.43832207607537,135.3395840739424,69.68618912193388
85.80568407138136,130.01919263816157,57.659353974952126
77.9073440379047,53.16162147933667,36.93652464934381
121.0056297460068,96.36324954176486,71.42779523435455
146.9872388144447,124.20730893708834,117.71052407449466
62.01613484302625,41.11719849030708,30.770192142734604
161.65121329430647,120.31418185251628,76.06420545746388
119.07694707430214,86.39056777798876,75.18434473591407
124.08400823610158,101.9518874399451,87.0894989704873
52.24948830409357,37.173647660818716,27.710672514619883
55.61637928102574,45.81419583035745,41.40963167023773
129.05173641486786,116.87860354403597,99.64101885947959
118.86210535976505,78.69319016152717,56.679546010768476
113.71997986454329,91.77436085179083,80.6938495332235
78.73447096594082,60.52756839754327,53.1267099385818
56.288607466864526,46.64788708643891,38.31209739975043
87.86186659935635,75.00093077554111,35.56728402852275
75.74873724489795,61.71307397959184,52.71669005102041
149.10201149425288,120.3107588155075,95.14730664328853
107.86633022774328,108.07686335403727,115.60162180814355
65.51227553310886,54.8603044332211,54.185079966329965
160.4508547008547,137.47633744855966,102.9165083887306
182.1183809833545,183.30730567956715,184.56127487212842
117.30555832502492,100.1222333000997,90.73757477567298
197.76591753055857,197.09801949559028,193.65267677549124
226.95122363967718,193.3072832595678,148.27321661025775
175.12735086179012,160.04300479029004,139.6313016958551
170.44048129729958,170.1842201426733,169.61471324997484
156.10538852913967,106.78287465309899,84.81606151711378
75.75518106987877,75.68272531920394,75.70687723609555
123.50538589243658,125.11360565229141,130.16977465477524
104.22414622414622,140.51422959756292,135.12035032868366
161.63271062271062,175.34838827838828,141.62201465201466
180.24153272101034,181.7245264064294,177.32972158438577
130.64968942990754,132.79551458251527,93.8448220469068
147.03372152433974,161.1131098151835,119.10189573459715
134.0338836373319,138.77073625349487,109.25847645675232
